"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","stimulus","task","tasknum","slider_start","key_press","nback","correct_key","detect","n","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"","html-keyboard-response","52","203102","0.0-1.0-11.0-2.0-0.7","null","","<p>E</p>","detection","2","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","53","204619","0.0-1.0-11.0-2.0-0.8","407.3950001038611","","<p>T</p>","detection","2","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","54","206134","0.0-1.0-11.0-2.0-0.9","null","","<p>X</p>","detection","2","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","55","207637","0.0-1.0-11.0-2.0-0.10","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","56","209143","0.0-1.0-11.0-2.0-0.11","null","","<p>E</p>","detection","2","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","57","210659","0.0-1.0-11.0-2.0-0.12","null","","<p>R</p>","detection","2","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","58","212175","0.0-1.0-11.0-2.0-0.13","null","","<p>E</p>","detection","2","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","59","213679","0.0-1.0-11.0-2.0-0.14","347.3849999718368","","<p>T</p>","detection","2","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","60","215178","0.0-1.0-11.0-3.0","1498.1549996882677","","<p style='font-size:25px'>Great job! You earned 1 point(s) from this task.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","debrief","","","32","","","","","","","","","","",""
"","html-slider-response","61","223467","0.0-1.0-12.0-0.0","8286.079999990761","56","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","3","0","","","","","","","","","","","",""
"","html-keyboard-response","62","226583","0.0-1.0-13.0-0.0","3113.8300001621246","","<p style='font-size':25px> You want <strong> 3.24 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>4.48</strong> points. </p><p style='font-size':25px> You will be given 4.48 points if you achieve at least 85% accuracy on this task. </p><img src=""./static/img/fractal2.png"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","63","226686","0.0-1.0-14.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","64","256692","0.0-1.0-14.0-1.0-0.0","null","","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw 3 trials ago.</p> <p>If the image on screen was not the one you saw 3 trials ago, do not press anything.</p><p>If you see a T, press <strong>H</strong> as fast as you can.</p><p>Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","","","","null","","","","","","","","","","",""
"","html-keyboard-response","65","258202","0.0-1.0-14.0-2.0-0.0","null","","<p>R</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","66","259715","0.0-1.0-14.0-2.0-0.1","null","","<p>X</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","67","261242","0.0-1.0-14.0-2.0-0.2","null","","<p>X</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","68","262749","0.0-1.0-14.0-2.0-0.3","464.43499997258186","","<p>R</p>","combine","3","","75","1","75","false","3","","","","","","",""
"","html-keyboard-response","69","264253","0.0-1.0-14.0-2.0-0.4","1249.47000015527","","<p>X</p>","combine","3","","75","1","75","false","3","","","","","","",""
"","html-keyboard-response","70","265765","0.0-1.0-14.0-2.0-0.5","null","","<p>X</p>","combine","3","","null","1","75","false","3","","","","","","",""
"","html-keyboard-response","71","267280","0.0-1.0-14.0-2.0-0.6","null","","<p>X</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","72","268796","0.0-1.0-14.0-2.0-0.7","843.0799995549023","","<p>T</p>","combine","3","","72","0","72","true","3","","","","","","",""
"","html-keyboard-response","73","270312","0.0-1.0-14.0-2.0-0.8","694.4499998353422","","<p>T</p>","combine","3","","72","0","72","true","3","","","","","","",""
"","html-keyboard-response","74","271814","0.0-1.0-14.0-2.0-0.9","977.3300001397729","","<p>R</p>","combine","3","","75","0","90","false","3","","","","","","",""
"","html-keyboard-response","75","273327","0.0-1.0-14.0-2.0-0.10","738.2950000464916","","<p>T</p>","combine","3","","72","0","75","true","3","","","","","","",""
"","html-keyboard-response","76","274828","0.0-1.0-14.0-2.0-0.11","null","","<p>E</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","77","276349","0.0-1.0-14.0-2.0-0.12","1073.8500002771616","","<p>R</p>","combine","3","","75","1","75","false","3","","","","","","",""
"","html-keyboard-response","78","277851","0.0-1.0-14.0-2.0-0.13","null","","<p>R</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","79","279363","0.0-1.0-14.0-2.0-0.14","null","","<p>R</p>","combine","3","","null","0","90","false","3","","","","","","",""
"","html-keyboard-response","80","284309","0.0-1.0-14.0-3.0","4944.3299998529255","","<p style='font-size:25px'>Great job! You earned 4.48 point(s) from this task.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-slider-response","81","289499","0.0-1.0-16.0-0.0","5187.320000026375","84","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","4","0","","","","","","","","","","","",""
"","html-keyboard-response","82","293006","0.0-1.0-17.0-0.0","3505.109999794513","","<p style='font-size':25px> You want <strong> 4.36 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>3.88</strong> points. </p><p style='font-size':25px> You will do the following task instead to earn 1 point. </p> <img src=""./static/img/fractal1.jpg"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","83","293115","0.0-1.0-19.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","84","307786","0.0-1.0-19.0-1.0-0.0","14670.13999959454","","<p>In this task, you will need to press <strong>H</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","instructions","","","32","","","","","","","","","","",""
"","html-keyboard-response","85","309298","0.0-1.0-19.0-2.0-0.0","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","86","310801","0.0-1.0-19.0-2.0-0.1","null","","<p>R</p>","detection","4","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","87","312316","0.0-1.0-19.0-2.0-0.2","null","","<p>R</p>","detection","4","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","88","313818","0.0-1.0-19.0-2.0-0.3","null","","<p>E</p>","detection","4","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","89","315334","0.0-1.0-19.0-2.0-0.4","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","90","316840","0.0-1.0-19.0-2.0-0.5","344.1099999472499","","<p>T</p>","detection","4","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","91","318342","0.0-1.0-19.0-2.0-0.6","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","92","319845","0.0-1.0-19.0-2.0-0.7","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","93","321361","0.0-1.0-19.0-2.0-0.8","373.8000001758337","","<p>T</p>","detection","4","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","94","322878","0.0-1.0-19.0-2.0-0.9","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","95","324394","0.0-1.0-19.0-2.0-0.10","null","","<p>R</p>","detection","4","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","96","325908","0.0-1.0-19.0-2.0-0.11","null","","<p>X</p>","detection","4","","null","","90","false","","2","","","","","",""
"","html-keyboard-response","97","327410","0.0-1.0-19.0-2.0-0.12","376.9000000320375","","<p>T</p>","detection","4","","72","","72","true","","3","","","","","",""
"","html-keyboard-response","98","328925","0.0-1.0-19.0-2.0-0.13","null","","<p>R</p>","detection","4","","null","","90","false","","1","","","","","",""
"","html-keyboard-response","99","330427","0.0-1.0-19.0-2.0-0.14","null","","<p>E</p>","detection","4","","null","","90","false","","0","","","","","",""
"","html-keyboard-response","100","331559","0.0-1.0-19.0-3.0","1132.0150000974536","","<p style='font-size:25px'>Great job! You earned 1 point(s) from this task.</p> </p><p style='font-size:25px'>Press the space bar to continue. </p>","debrief","","","32","","","","","","","","","","",""
"","html-slider-response","101","339262","0.0-1.0-20.0-0.0","7700.974999926984","80","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","BDM","5","0","","","","","","","","","","","",""
"","html-keyboard-response","102","342585","0.0-1.0-21.0-0.0","3321.4600002393126","","<p style='font-size':25px> You want <strong> 4.20 </strong> points. </p> <p style='font-size':25px> The computer offers <strong>3.72</strong> points. </p><p style='font-size':25px> You will do the following task instead to earn 1 point. </p> <img src=""./static/img/fractal1.jpg"" width=""250"" height=""250"" location='center'></img><p style='font-size':25 px> Press the space bar to continue. </p>","","","","32","","","","","","","","","","",""
"","html-keyboard-response","103","342698","0.0-1.0-23.0-0.0","null","","+","","","","null","","","","","","","","","","",""
"","html-keyboard-response","104","343953","0.0-1.0-23.0-1.0-0.0","1253.6949999630451","","<p>In this task, you will need to press <strong>H</strong> every time you see the target letter <strong>T</strong>. </p><p>You must respond while the letter is on screen or your answer will not count.</p><p> Pay attention! If you are not at least 85% accurate, you will not earn points for completing this task.</p> <p>Press space to begin.</p>","instructions","","","32","","","","","","","","","","",""
"","html-keyboard-response","105","345456","0.0-1.0-23.0-2.0-0.0","null","","<p>X</p>","detection","5","","null","","90","false","","2","","","","","",""
